mean_pixels,std_pixels,median_pixels,mean_hist,std_hist,median_hist,label
71.51348876953125,84.41182971472347,60.0,3072.0,5241.878074698037,1339.5,0.0
57.3831787109375,71.16085363520529,0.0,3072.0,6074.675269098752,1414.5,0.0
76.76171875,80.34965768205875,69.0,3072.0,4876.319936694064,1521.0,0.0
30.51959228515625,52.23334538442481,0.0,3072.0,8031.881698892234,451.5,0.0
98.74200439453125,75.02418817823165,123.0,3072.0,3841.9981129615358,1759.5,0.0
34.77166748046875,55.6456942325622,0.0,3072.0,7938.829038340604,796.5,0.0
40.1236572265625,66.38784371309777,0.0,3072.0,8099.311081814304,859.5,0.0
59.077392578125,66.83545845925771,50.0,3072.0,5360.795078624065,1506.0,0.0
57.3167724609375,69.06929669562521,9.0,3072.0,5714.711606896712,1489.5,0.0
40.97344970703125,60.3947107339105,0.0,3072.0,7281.561242274901,1074.0,0.0
62.25067138671875,71.8742983545129,0.0,3072.0,5970.3190241393295,1210.5,0.0
46.40191650390625,67.22591669677361,0.0,3072.0,6964.415679007106,931.5,0.0
48.06024169921875,68.88523610514733,0.0,3072.0,7469.8009762643605,651.0,0.0
32.8148193359375,52.66037177967147,0.0,3072.0,7679.220956581468,1084.5,0.0
32.4144287109375,51.33230459405949,0.0,3072.0,7675.429279525673,958.5,0.0
57.48931884765625,58.216984576148796,57.0,3072.0,4569.776526264714,1710.0,0.0
50.70635986328125,67.01980539378556,0.0,3072.0,6385.5675648293,1261.5,0.0
70.8485107421875,68.77552083298619,71.0,3072.0,4600.136356674659,1294.5,0.0
64.43475341796875,65.64981871250747,69.0,3072.0,5389.469837099007,583.5,0.0
22.91064453125,50.17200710406356,0.0,3072.0,9437.873707832712,238.5,0.0
102.31280517578125,76.62659142727053,114.0,3072.0,3147.3785520651945,1717.5,0.0
73.0762939453125,82.01768438150532,54.0,3072.0,5384.258827823937,1444.5,0.0
63.3291015625,73.7787729741802,13.5,3072.0,5715.002854329996,1572.0,0.0
53.5692138671875,63.745876049724494,10.0,3072.0,5769.446355587336,1081.5,0.0
56.06109619140625,81.34884156276014,0.0,3072.0,6908.594050166792,1224.0,0.0
40.04827880859375,58.08454616034057,0.0,3072.0,6911.6953871680425,678.0,0.0
61.39129638671875,75.14823826793587,0.0,3072.0,6053.070883857218,1746.0,0.0
43.8759765625,70.95497873888336,0.0,3072.0,7759.421998448081,1047.0,0.0
70.58203125,78.11230902780478,57.0,3072.0,5370.515652616609,1762.5,0.0
41.5047607421875,61.84609273284537,0.0,3072.0,7299.78425194882,1032.0,0.0
58.0108642578125,62.930386337174404,47.0,3072.0,5314.4917442780925,2169.0,0.0
28.75274658203125,52.94725860121581,0.0,3072.0,8470.64177763409,763.5,0.0
57.30224609375,74.09960390357023,0.0,3072.0,6191.551855149079,1461.0,0.0
57.9296875,57.9400488036651,57.0,3072.0,4527.573895034735,1849.5,0.0
56.95550537109375,77.09328470176183,0.0,3072.0,6505.831672430512,1540.5,0.0
79.28082275390625,81.15180324147214,63.0,3072.0,4148.695487740694,1668.0,0.0
66.30206298828125,72.26307431743116,60.0,3072.0,4780.895692754653,1633.5,0.0
64.37725830078125,79.84432911912458,0.0,3072.0,5789.059509108539,1662.0,0.0
60.053466796875,71.11749910807866,9.0,3072.0,5749.483270260032,1500.0,0.0
42.36029052734375,63.651210318526154,0.0,3072.0,7843.071201704088,408.0,0.0
68.61236572265625,77.62926197865481,52.0,3072.0,5511.088901024915,1396.5,0.0
85.86114501953125,70.60651942290495,112.0,3072.0,4417.602757718263,1266.0,0.0
35.96197509765625,56.38208413175585,0.0,3072.0,7614.923259626456,423.0,0.0
40.83648681640625,59.72490286903893,0.0,3072.0,7343.102043755078,523.5,0.0
56.33319091796875,79.32248974791624,0.0,3072.0,7082.898585678042,1410.0,0.0
80.554931640625,79.18608584530007,99.0,3072.0,5229.253543767026,1113.0,0.0
97.183349609375,70.81927235592232,95.0,3072.0,1974.3533118466917,2788.5,0.0
20.29803466796875,49.8407986101588,0.0,3072.0,9853.390165318737,358.5,0.0
